filename,time(s),input size(Mb),output size(Mb)
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u014.tsv,34.066130184,56.65234375,5.078563690185547
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u055.tsv,39.287592058,58.53125,5.8153228759765625
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u037.tsv,54.880771797,61.8359375,6.697369575500488
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u042.tsv,48.670256888,55.046875,4.878490447998047
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u095.tsv,62.017259715,57.83203125,5.74909782409668
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u097.tsv,88.312064107,69.47265625,8.427494049072266
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u043.tsv,85.303143383,62.7421875,6.903862953186035
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u007.tsv,98.255541816,73.1640625,9.351091384887695
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u112.tsv,106.330990322,72.71875,9.557124137878418
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u008.tsv,107.719237038,73.98046875,9.779439926147461
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u104.tsv,101.712367421,67.7265625,8.227190971374512
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u090.tsv,110.885197141,72.859375,9.092966079711914
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u122.tsv,84.782426335,62.50390625,7.073005676269531
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u108.tsv,113.637357729,72.91015625,9.443263053894043
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u048.tsv,119.417989907,73.84765625,9.701578140258789
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u003.tsv,131.790629762,87.4921875,12.668492317199707
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u082.tsv,131.823915949,77.5390625,10.658108711242676
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u073.tsv,126.524121415,83.4296875,11.934165000915527
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u010.tsv,126.797334807,83.765625,12.200390815734863
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u127.tsv,94.926107863,75.63671875,10.436219215393066
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u057.tsv,138.187437781,89.8125,13.666374206542969
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u131.tsv,79.833868964,70.8515625,9.051630020141602
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u119.tsv,142.272538123,98.72265625,15.192354202270508
b1-02-02-2024_rd168_blanc_240202_inj1-200spd_u129.tsv,88.599176589,95.57421875,15.017577171325684
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u003_h.tsv,72.936416404,88.6171875,11.817004203796387
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u011_h.tsv,68.533985718,115.48046875,18.643006324768066
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u017_h.tsv,69.644290364,111.15625,17.764413833618164
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u035_l.tsv,66.983664236,99.84375,15.834527969360352
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u027_h.tsv,84.992817886,119.546875,19.19123363494873
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u038_h.tsv,87.478353938,105.02734375,16.673078536987305
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u036_l.tsv,93.259740665,119.08203125,19.04994010925293
b1-02-02-2024_rd168_cfr_230713_inj1-200spd_ccri-429_u054_l.tsv,97.963012244,106.56640625,16.9312744140625
